"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Randy Foye","2011","SG","LAC","$3,420,732","$0","$4,250,000","0.073","$3,420,732","$4,250,000","2","$8,500,000","$19,142,133","2012","2010","26",""
"","Chris Andersen","2011","PF","DEN","$3,407,854","$0","$4,234,000","0.073","$3,407,854","$4,139,100","3","$12,417,300","$19,128,837","2012","2009","30",""
"","Danilo Gallinari","2011","SF","DEN","$3,372,586","$0","$4,190,182","0.072","$3,372,586","$3,364,326","4","$13,457,302","$12,639,706","0","2008","19",""
"","Tyreke Evans","2011","SG","SAC","$3,341,564","$0","$4,151,640","0.072","$3,341,564","$4,223,616","4","$16,894,464","$10,832,564","2013","2009","19",""
"","Wesley Johnson","2011","SF","MIN","$3,224,406","$0","$4,006,080","0.069","$3,224,406","$4,006,080","3","$12,018,240","$6,951,006","2013","2010","22",""
"","Ryan Gomes","2011","SF","LAC","$3,219,512","$0","$4,000,000","0.069","$3,219,512","$4,000,000","2","$8,000,000","$3,219,512","2012","2010","27",""
"","Steve Blake","2011","PG","LAL","$3,219,512","$0","$4,000,000","0.069","$3,219,512","$4,000,000","4","$16,000,000","$23,966,489","2014","2010","29",""
"","Hakim Warrick","2011","PF","PHX","$3,219,512","$0","$4,000,000","0.069","$3,219,512","$4,500,000","4","$18,000,000","$3,219,512","2014","2010","27",""
"","Dorell Wright","2011","SF","GSW","$3,077,049","$0","$3,823,000","0.066","$3,077,049","$3,809,667","3","$11,429,000","$17,833,835","2013","2010","24",""
"","Udonis Haslem","2011","PF","MIA","$3,042,439","$0","$3,780,000","0.065","$3,042,439","$4,060,000","5","$20,300,000","$37,779,416","2014","2010","29",""
"","C.J. Miles","2011","SF","UTA","$2,978,049","$0","$3,700,000","0.064","$2,978,049","$3,700,000","4","$14,800,000","$15,911,630","2012","2008","20",""
"","Luke Ridnour","2011","PG","MIN","$2,961,951","$0","$3,680,000","0.063","$2,961,951","$4,000,000","4","$16,000,000","$33,481,429","2014","2010","28",""
"","Tiago Splitter","2011","PF","SAS","$2,955,512","$0","$3,672,000","0.063","$2,955,512","$3,672,000","3","$11,016,000","$6,355,512","2013","2010","24",""
"","DeMarcus Cousins","2011","C","SAC","$2,919,872","$0","$3,627,720","0.063","$2,919,872","$3,950,033","4","$15,800,133","$6,294,512","2014","2010","19",""
"","Joel Anthony","2011","C","MIA","$2,897,561","$0","$3,600,000","0.062","$2,897,561","$3,650,000","5","$18,250,000","$8,161,738","2015","2010","27",""
"","Carlos Delfino","2011","SG","MIL","$2,817,073","$0","$3,500,000","0.060","$2,817,073","$3,500,000","3","$10,500,000","$14,594,110","2012","2009","26",""
"","Shaun Livingston","2011","PG","MIL","$2,817,073","$0","$3,500,000","0.060","$2,817,073","$3,500,000","2","$7,000,000","$21,153,037","2012","2010","24",""
"","Chris Duhon","2011","PG","ORL","$2,817,073","$0","$3,500,000","0.060","$2,817,073","$3,750,000","4","$15,000,000","$27,391,150","2013","2010","27",""
"","Brandon Bass","2011","PF","BOS","$3,219,512","$0","$3,420,732","0.059","$3,219,512","$4,000,000","4","$16,000,000","$13,879,362","2012","2009","23",""
"","C.J. Watson","2011","PG","CHI","$2,736,585","$0","$3,400,000","0.059","$2,736,585","$3,250,000","2","$6,500,000","$7,793,422","2012","2010","25",""
"","Timofey Mozgov","2011","C","DEN","$2,691,428","$0","$3,343,896","0.058","$2,691,428","$3,350,474","3","$10,051,421","$6,258,524","2013","2010","23",""
"","Matt Bonner","2011","C","SAS","$2,668,171","$0","$3,315,000","0.057","$2,668,171","$3,472,500","4","$13,890,000","$18,993,448","2014","2010","29",""
"","Thabo Sefolosha","2011","SF","OKC","$2,656,098","$0","$3,300,000","0.057","$2,656,098","$3,512,500","4","$14,050,000","$14,081,326","2014","2010","25",""
"","Will Bynum","2011","PG","DET","$2,615,854","$0","$3,250,000","0.056","$2,615,854","$3,250,000","3","$9,750,000","$7,490,402","2013","2010","26",""
"","Raja Bell","2011","SG","UTA","$2,607,805","$0","$3,240,000","0.056","$2,607,805","$3,240,000","3","$9,720,000","$32,039,700","2013","2010","33",""
"","Tony Allen","2011","SG","MEM","$2,535,366","$0","$3,150,000","0.054","$2,535,366","$3,150,000","3","$9,450,000","$15,312,403","2013","2010","27",""
"","Stephen Curry","2011","PG","GSW","$2,508,901","$0","$3,117,120","0.054","$2,508,901","$3,175,066","4","$12,700,262","$8,133,301","0","2009","20",""
"","Corey Brewer","2011","SG","DEN","$2,462,122","$0","$3,059,000","0.053","$2,462,122","$3,059,000","3","$9,177,000","$17,218,354","2013","2010","23",""
"","Jerryd Bayless","2011","PG","TOR","$2,448,664","$0","$3,042,280","0.052","$2,448,664","$2,352,880","4","$9,411,520","$8,877,904","2012","2009","20",""
"","Greg Monroe","2011","C","DET","$2,421,009","$0","$3,007,920","0.052","$2,421,009","$3,277,524","4","$13,110,094","$5,219,049","2014","2010","19",""
"","Jason Thompson","2011","PF","SAC","$2,415,668","$0","$3,001,284","0.052","$2,415,668","$2,277,261","4","$9,109,044","$8,523,428","2012","2008","21",""
"","Brandon Rush","2011","SG","GSW","$2,379,749","$0","$2,956,658","0.051","$2,379,749","$2,189,757","4","$8,759,027","$8,182,109","2012","2008","22",""
"","Anthony Randolph","2011","PF","MIN","$2,343,186","$0","$2,911,231","0.050","$2,343,186","$2,105,948","4","$8,423,791","$7,855,746","2012","2008","18",""
