Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV,GTDAT SIGN,GTDPRACTICAL,YR-1 CAP,YR-1 CASH
Tyler Zeller,2016,C,RFA,BOS,BOS,2,"$18,000,000","$9,000,000",$0,"$8,000,000","$8,000,000","$8,000,000"
Gerald Henderson,2016,SG,UFA,POR,PHI,2,"$18,000,000","$9,000,000","$10,000,000","$10,000,000","$9,000,000","$9,000,000"
Ishmael Smith,2016,PG,UFA,PHI,DET,3,"$18,000,000","$6,000,000",$0,"$18,000,000",$0,$0
Wesley Johnson,2016,SF,UFA,LAC,LAC,3,"$17,643,780","$5,881,260",$0,"$17,643,780","$5,628,000","$5,628,000"
Alex Abrines,2016,SG,,,OKC,3,"$17,175,000","$5,725,000",$0,"$17,175,000",$0,$0
Anthony Tolliver,2016,PF,UFA,DET,SAC,2,"$16,000,000","$8,000,000",$0,"$10,000,000","$8,000,000","$8,000,000"
Jason Smith,2016,PF,UFA,ORL,WAS,3,"$15,675,000","$5,225,000",$0,"$15,675,000",$0,$0
Festus Ezeli,2016,C,UFA,GSW,POR,2,"$15,133,000","$7,566,500",$0,"$8,400,000","$7,400,000","$7,400,000"
Jeff Green,2016,PF,UFA,LAC,ORL,1,"$15,000,000","$15,000,000",$0,"$15,000,000",$0,$0
Manu Ginobili,2016,SG,UFA,SAS,SAS,1,"$14,000,000","$14,000,000",$0,"$14,000,000",$0,$0
Tarik Black,2016,PF,RFA,LAL,LAL,2,"$12,846,325","$6,423,163",$0,"$12,846,325",$0,$0
Wayne Ellington,2016,SG,UFA,BKN,MIA,2,"$12,270,000","$6,135,000",$0,"$6,000,000",$0,$0
Matt Barnes,2016,SF,UFA,MEM,SAC,2,"$12,250,000","$6,125,000",$0,"$12,250,000",$0,$0
Troy Daniels,2016,SG,RFA,CHA,MEM,3,"$10,000,009","$3,333,336",$0,"$10,000,009",$0,$0
Deron Williams,2016,PG,UFA,DAL,DAL,1,"$10,000,000","$10,000,000",$0,"$9,000,000",$0,$0
Tomas Satoransky,2016,SG,RFA,,WAS,3,"$9,000,000","$3,000,000",$0,"$9,000,000",$0,$0
Leandro Barbosa,2016,SG,UFA,GSW,PHX,2,"$8,000,000","$4,000,000",$0,"$4,500,000","$4,000,000","$4,000,000"
Jordan Hill,2016,C,UFA,IND,MIN,2,"$8,000,000","$4,000,000",$0,"$4,000,000","$4,000,000","$4,000,000"
Yi Jianlian,2016,PF,UFA,,LAL,1,"$8,000,000","$8,000,000",$0,"$250,000","$1,139,123","$1,139,123"
Richard Jefferson,2016,SF,UFA,CLE,CLE,3,"$7,612,500","$2,537,500",$0,"$5,000,000",$0,$0
Ramon Sessions,2016,PG,UFA,WAS,CHA,1,"$6,000,000","$6,000,000",$0,"$6,000,000","$6,000,000","$6,000,000"
Justin Hamilton,2016,C,UFA,MIN,BKN,2,"$6,000,000","$3,000,000",$0,"$6,000,000",$0,$0
Dion Waiters,2016,SG,UFA,OKC,MIA,2,"$5,926,410","$2,963,205",$0,"$5,926,410",$0,$0
Dewayne Dedmon,2016,C,UFA,ORL,SAS,2,"$5,926,410","$2,963,205",$0,"$5,926,410",$0,$0
Seth Curry,2016,SG,UFA,SAC,DAL,2,"$5,926,410","$2,963,205",$0,"$5,926,410",$0,$0
James Ennis III,2016,SF,UFA,NOP,MEM,2,"$5,926,410","$2,963,205",$0,"$5,926,410",$0,$0
Jared Sullinger,2016,PF,UFA,BOS,TOR,1,"$5,628,000","$5,628,000",$0,"$5,628,000","$5,628,000","$5,628,000"
Luis Scola,2016,PF,UFA,TOR,BKN,1,"$5,500,000","$5,500,000",$0,"$5,500,000","$5,500,000","$5,000,000"
Roy Hibbert,2016,C,UFA,LAL,CHA,1,"$5,000,000","$5,000,000",$0,"$5,000,000",$0,$0
Brandon Jennings,2016,PG,UFA,ORL,NYK,1,"$5,000,000","$5,000,000",$0,"$5,000,000",$0,$0
Greivis Vasquez,2016,PG,UFA,MIL,BKN,1,"$5,000,000","$5,000,000",$0,"$5,000,000","$5,000,000","$5,000,000"
Ronnie Price,2016,PG,UFA,PHX,OKC,2,"$5,000,000","$2,500,000",$0,"$5,000,000","$2,557,545","$2,557,545"
Derrick Williams,2016,PF,UFA,NYK,MIA,1,"$4,598,000","$4,598,000",$0,"$4,598,000","$4,598,000","$4,598,000"
Luc Richard Mbah a Moute,2016,PF,UFA,LAC,LAC,2,"$4,505,135","$2,252,568",$0,"$4,505,135","$2,203,000","$2,203,000"
Tim Frazier,2016,PG,RFA,NOP,NOP,2,"$4,090,000","$2,045,000",$0,"$4,090,000","$49,709","$49,709"
James Johnson,2016,PF,UFA,TOR,MIA,1,"$4,000,000","$4,000,000",$0,"$4,000,000",$0,$0
Udonis Haslem,2016,PF,UFA,MIA,MIA,1,"$4,000,000","$4,000,000",$0,"$4,000,000",$0,$0
Kris Humphries,2016,PF,UFA,ATL,ATL,1,"$4,000,000","$4,000,000",$0,"$4,000,000","$4,000,000","$4,000,000"
Brandon Rush,2016,SG,UFA,GSW,MIN,1,"$3,500,000","$3,500,000",$0,"$3,500,000","$3,500,000","$3,500,000"
Nate Wolters,2016,PG,UFA,,DEN,3,"$3,157,492","$1,052,497",$0,"$50,000","$980,431","$980,431"
Marcelo Huertas,2016,PG,RFA,LAL,LAL,2,"$3,067,600","$1,533,800",$0,"$1,500,000","$1,500,000","$1,500,000"
Nene Hilario,2016,C,UFA,WAS,HOU,1,"$2,898,000","$2,898,000",$0,"$2,898,000",$0,$0
Zaza Pachulia,2016,C,UFA,DAL,GSW,1,"$2,898,000","$2,898,000",$0,"$2,898,000",$0,$0
Marreese Speights,2016,PF,UFA,GSW,LAC,2,"$2,863,580","$1,431,790",$0,"$2,863,580",$0,$0
Randy Foye,2016,SG,UFA,OKC,BKN,1,"$2,500,000","$2,500,000",$0,"$2,500,000",$0,$0
Semaj Christon,2016,PG,UFA,,OKC,3,"$2,498,982","$832,994",$0,"$200,000",$0,$0
Dorian Finney-Smith,2016,PF,UDFA,Florida,DAL,3,"$2,498,982",$0,$0,"$100,000",$0,$0
Daniel Ochefu,2016,SF,UDFA,Villanova,WAS,3,"$2,498,982",$0,$0,"$50,000","$543,471","$543,471"
Gary Payton II,2016,PG,UDFA,Oregon State,HOU,3,"$2,498,982",$0,$0,"$543,471",$0,$0
Gary Payton II,2016,PG,UDFA,Oregon State,HOU,3,"$2,498,982",$0,$0,"$543,471",$0,$0
Marshall Plumlee,2016,PF,UDFA,Duke,NYK,3,"$2,498,982",$0,"$543,471","$543,471","$543,471","$543,471"
Quincy Acy,2016,PF,UFA,SAC,DAL,2,"$2,229,953","$1,114,977",$0,"$1,050,961",$0,$0
Pablo Prigioni,2016,PG,UFA,LAC,HOU,2,"$2,229,953","$1,114,977",$0,"$1,050,961","$1,050,961","$1,050,961"
Tony Wroten Jr.,2016,SG,UFA,MEM,MEM,2,"$2,229,953","$1,114,977",$0,"$25,000","$1,015,696","$1,015,696"
Isaiah Canaan,2016,PG,UFA,PHI,CHI,2,"$2,103,441","$1,051,721","$1,215,696","$1,215,696","$1,015,696","$1,015,696"
Willie Reed,2016,C,UFA,BKN,MIA,2,"$2,103,441","$1,051,721",$0,"$2,103,441",$0,$0
Anthony Bennett,2016,PF,UFA,,BKN,2,"$2,103,441","$1,051,721",$0,"$1,015,696","$1,015,696","$1,015,696"
Spencer Dinwiddie,2016,PG,UFA,CHI,CHI,2,"$2,031,676","$1,015,838",$0,$0,$0,$0
Joe Harris,2016,SG,UFA,,BKN,2,"$2,031,676","$1,015,838",$0,"$980,431",$0,$0
Christian Wood,2016,PF,RFA,PHI,CHA,2,"$1,889,382","$944,691",$0,"$874,636",$0,$0
Raymond Felton,2016,PG,UFA,DAL,LAC,1,"$1,551,659","$1,551,659",$0,"$1,551,659",$0,$0
Jarrett Jack,2016,PG,UFA,BKN,ATL,1,"$1,551,659","$1,551,659",$0,"$1,551,659",$0,$0
Chris Andersen,2016,PF,UFA,MEM,CLE,1,"$1,551,659","$1,551,659",$0,"$1,551,659","$980,431","$1,551,659"
Brandon Bass,2016,PF,UFA,LAL,LAC,1,"$1,551,659","$1,551,659",$0,"$1,551,659","$980,431","$1,551,659"
