Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,TVS,Age,Weight,Height,Year
Eric Bledsoe,PG,LAC,39,0,452,128,64,31,14,45,60,20,40,48,39.3,6,20.0,26,17.31,22,214,"6'1""",2011
Kevin Seraphin,PF,WAS,58,0,"1,197",459,34,19,74,68,283,104,179,204,53.0,0,0.0,51,46.19,22,278,"0'0""",2011
Kawhi Leonard,SF,SAS,64,0,"1,544",505,68,85,24,44,330,104,226,197,48.4,41,36.6,70,82.42,20,225,"6'7""",2011
Jrue Holiday,PG,PHI,67,0,"2,251",915,301,105,18,142,219,60,159,372,43.6,70,39.3,101,93.54,21,220,"6'5""",2011
Luke Babbitt,SF,POR,41,0,563,208,18,10,5,29,97,16,81,74,41.1,43,41.3,17,12.72,22,225,"6'9""",2011
Marcus Morris Sr.,PF,HOU,19,0,170,61,8,3,2,6,23,6,17,23,32.4,3,13.0,12,0.0,22,218,"6'8""",2011
James Johnson,PF,TOR,64,0,"1,602",572,125,76,90,109,301,75,226,235,44.6,19,31.1,83,81.44,24,240,"6'7""",2011
Omer Asik,C,CHI,67,0,989,209,33,30,67,68,357,129,228,81,50.9,0,0.0,47,44.04,25,255,"7'0""",2011
Larry Sanders,C,MIL,53,0,648,186,33,32,76,45,161,62,99,84,45.7,0,0.0,18,35.76,23,0,"0'0""",2011
Matt Barnes,SF,LAL,64,0,"1,447",492,127,34,48,78,346,99,247,176,45.2,47,33.6,93,76.27,31,226,"6'7""",2011
Markieff Morris,PF,PHX,63,0,"1,235",474,64,44,46,69,278,67,211,175,40.6,45,35.7,79,44.55,22,245,"6'9""",2011
Patrick Patterson,PF,HOU,63,0,"1,459",481,53,26,36,47,279,109,170,221,44.0,0,0.0,39,31.39,22,235,"6'8""",2011
Dante Cunningham,PF,MEM,63,0,"1,099",327,37,41,33,26,236,89,147,141,51.8,0,0.0,45,35.85,24,230,"0'0""",2011
Alec Burks,SG,UTA,59,0,943,423,56,28,5,48,129,57,72,153,41.9,15,34.1,102,20.24,20,214,"6'6""",2011
Anthony Tolliver,PF,MIN,52,0,900,214,22,19,21,38,156,52,104,73,39.0,26,25.0,42,15.34,26,240,"6'8""",2011
Ed Davis,PF,TOR,68,0,"1,577",434,61,40,63,69,456,139,317,181,52.0,0,0.0,72,62.25,22,218,"6'9""",2011
George Hill,PG,IND,52,0,"1,315",488,148,42,17,54,152,32,120,171,43.5,54,36.0,92,77.37,25,188,"6'4""",2011
Goran Dragic,PG,HOU,67,0,"1,773",792,354,87,10,159,171,53,118,284,46.3,69,33.2,155,90.71,25,190,"6'4""",2011
DeMar DeRozan,SG,TOR,65,0,"2,277","1,084",131,49,18,128,224,44,180,390,42.1,26,26.8,278,60.38,22,220,"6'6""",2011
Klay Thompson,SG,GSW,65,0,"1,595",816,133,55,20,109,161,25,136,314,43.5,105,39.8,83,52.34,21,220,"6'6""",2011
Tyler Hansbrough,PF,IND,66,0,"1,465",646,31,58,10,66,305,117,188,206,41.2,0,0.0,234,38.27,26,250,"6'9""",2011
Nicolas Batum,SF,POR,61,0,"1,838",843,89,58,63,92,280,84,196,299,45.4,110,39.1,135,94.17,23,230,"6'8""",2011
Kosta Koufos,C,DEN,49,0,816,280,17,25,43,36,270,100,170,121,59.3,0,0.0,38,53.32,22,245,"7'0""",2011
Courtney Lee,SG,HOU,59,0,"1,764",661,85,70,23,65,158,26,132,251,43.1,85,39.5,74,71.56,26,215,"6'5""",2011
Jimmer Fredette,PG,SAC,62,0,"1,177",485,113,31,2,70,79,17,62,179,39.3,82,37.1,45,15.21,22,195,"6'2""",2011
J.J Hickson,PF,POR,56,0,"1,306",473,51,33,35,73,351,139,212,190,46.3,0,0.0,93,51.63,23,242,"6'9""",2011
J.R. Smith,SG,NYK,35,0,967,436,84,54,6,46,136,29,107,165,40.7,67,34.7,39,79.73,26,225,"6'6""",2011
Louis Amundson,PF,IND,58,0,728,206,13,26,40,45,216,90,126,86,43.2,0,0.0,34,14.6,29,220,"6'9""",2011
Paul George,SG,IND,66,0,"1,970",808,156,111,37,122,374,62,312,283,44.1,90,39.1,152,96.48,21,220,"6'8""",2011
JaVale McGee,C,DEN,62,0,"1,547",707,30,39,131,86,484,168,316,311,55.0,0,0.0,85,84.51,24,270,"7'0""",2011
Brandon Jennings,PG,MIL,68,0,"2,391","1,276",377,106,22,148,233,53,180,476,41.6,130,33.2,194,99.37,22,170,"6'1""",2011
Gordon Hayward,SF,UTA,66,0,"1,988",759,204,52,40,114,229,56,173,259,45.2,55,35.3,186,84.23,21,225,"6'7""",2011
Ersan Ilyasova,PF,MIL,62,0,"1,688",789,72,44,44,78,537,196,341,297,49.1,51,44.7,144,93.74,24,235,"6'9""",2011
Brandon Knight,PG,DET,67,0,"2,141",850,254,51,10,174,212,31,181,319,41.1,106,37.5,106,55.92,20,182,"6'2""",2011
Roy Hibbert,C,IND,65,0,"1,925",821,108,30,125,127,570,212,358,326,49.2,0,0.0,169,96.85,25,270,"7'2""",2011
Ekpe Udoh,C,GSW,60,0,"1,264",336,57,37,97,55,248,99,149,126,42.7,0,0.0,84,37.38,24,245,"0'0""",2011
Dahntay Jones,SF,IND,65,0,"1,022",345,64,23,12,44,111,23,88,114,40.9,33,42.9,84,12.61,31,225,"6'6""",2011
Robin Lopez,C,PHX,65,0,933,357,23,20,63,43,218,93,125,128,45.7,0,0.0,101,33.51,23,295,"7'0""",2011
Brandon Rush,SG,GSW,63,0,"1,672",622,89,33,58,66,245,30,215,232,50.4,97,45.5,61,68.81,26,225,"6'6""",2011
Vince Carter,SG,DAL,62,0,"1,561",624,140,58,26,86,205,32,173,227,41.0,74,35.7,96,59.29,35,220,"6'6""",2011
Jerryd Bayless,PG,TOR,33,0,755,375,123,24,4,59,71,10,61,125,41.4,44,40.0,81,62.09,23,200,"0'0""",2011
Corey Brewer,SG,DEN,60,0,"1,324",547,90,74,17,58,157,47,110,210,43.4,35,26.3,92,47.03,25,186,"6'9""",2011
Stephen Curry,PG,GSW,25,0,675,349,124,40,9,59,88,18,70,134,48.0,49,43.8,32,86.99,23,200,"6'3""",2011
Tony Allen,SG,MEM,59,0,"1,552",583,81,102,35,96,237,99,138,218,47.6,8,29.6,139,73.35,30,213,"6'4""",2011
Will Bynum,PG,DET,37,0,558,223,70,24,2,62,61,11,50,81,38.9,9,27.3,52,10.38,29,185,"6'0""",2011
Thabo Sefolosha,SF,OKC,44,0,956,216,49,40,17,40,134,23,111,72,44.2,32,43.2,40,23.57,27,215,"6'6""",2011
Timofey Mozgov,C,DEN,45,0,716,250,23,16,44,56,186,58,128,105,53.0,0,0.0,40,25.82,25,275,"0'0""",2011
C.J. Watson,PG,CHI,50,0,"1,185",487,204,46,8,99,109,21,88,167,37.4,70,40.0,83,49.34,27,175,"6'2""",2011
Brandon Bass,PF,BOS,61,0,"1,911",759,56,39,57,67,372,97,275,311,48.1,0,0.0,137,64.02,26,250,"6'8""",2011
Ricky Rubio,PG,MIN,40,0,"1,344",415,325,89,8,124,166,23,143,133,35.9,31,34.8,118,88.63,21,190,"6'3""",2011
Shaun Livingston,PG,MIL,59,0,"1,117",326,124,27,21,67,127,41,86,130,46.9,2,66.7,64,13.45,26,192,"6'7""",2011
Joel Anthony,C,MIA,66,0,"1,377",227,9,40,84,47,251,100,151,87,56.1,0,0.0,53,29.1,29,245,"6'9""",2011
Nick Young,SG,WAS,61,0,"1,685",858,55,43,16,80,132,32,100,308,40.1,99,35.7,143,28.34,26,210,"6'7""",2011
C.J. Miles,SF,UTA,56,0,"1,163",524,70,47,18,53,124,30,94,181,38.6,48,31.4,114,27.23,24,220,"6'6""",2011
Tristan Thompson,C,CLE,61,0,"1,454",508,26,29,64,85,395,190,205,198,43.9,0,0.0,112,26.42,20,250,"6'9""",2011
Mike Dunleavy,SF,MIL,57,0,"1,498",706,124,30,9,58,210,31,179,250,47.5,87,39.7,119,64.1,31,230,"6'9""",2011
Udonis Haslem,PF,MIA,66,0,"1,636",403,46,36,25,64,484,117,367,156,42.0,0,0.0,91,25.88,31,235,"6'8""",2011
Dorell Wright,SF,GSW,60,0,"1,627",627,90,60,26,53,282,60,222,220,41.7,104,35.7,83,64.74,26,205,"6'9""",2011
Mario Chalmers,PG,MIA,66,0,"1,873",638,230,102,12,145,178,17,161,226,44.8,102,38.6,84,62.21,25,190,"6'2""",2011
Steve Blake,PG,LAL,54,0,"1,266",299,176,40,2,77,91,9,82,108,38.8,58,34.9,25,12.13,31,172,"6'3""",2011
Wesley Johnson,SF,MIN,65,0,"1,475",394,59,34,46,59,180,25,155,157,39.7,53,31.4,27,15.93,24,215,"6'7""",2011
Spencer Hawes,PF,PHI,39,0,960,371,98,16,48,60,292,79,213,163,49.4,3,25.0,42,76.3,23,245,"7'1""",2011
Tyreke Evans,SG,SAC,64,0,"2,207","1,048",295,87,29,179,294,63,231,409,45.0,22,21.0,208,86.78,22,220,"6'6""",2011
Chuck Hayes,PF,SAC,53,0,"1,031",170,77,35,17,49,234,72,162,72,42.9,0,0.0,26,8.9,28,240,"6'6""",2011
Jared Dudley,SF,PHX,65,0,"1,981",813,104,47,19,72,302,92,210,309,49.0,78,38.2,117,81.34,26,237,"6'6""",2011
Randy Foye,SG,LAC,66,0,"1,700",715,152,44,25,74,137,25,112,257,39.4,126,38.0,75,40.05,28,218,"6'4""",2011
Ramon Sessions,PG,LAL,64,0,"1,694",706,360,44,3,138,210,32,178,236,42.0,41,42.7,193,58.78,25,190,"6'3""",2011
Derrick Favors,PF,UTA,65,0,"1,374",585,45,40,65,108,427,163,264,227,50.7,0,0.0,131,41.71,20,265,"6'9""",2011
Jonas Jerebko,PF,DET,66,0,"1,509",571,46,43,21,66,317,99,218,217,46.1,33,30.3,104,28.11,24,231,"0'0""",2011
Derrick Williams,PF,MIN,66,0,"1,418",587,36,31,32,79,309,75,234,206,41.2,39,27.9,136,18.18,20,240,"6'8""",2011
James Harden,SG,OKC,64,0,"1,994","1,073",236,63,15,144,263,32,231,318,48.8,120,39.3,317,96.25,22,220,"6'5""",2011
Kevin Love,C,MIN,55,0,"2,118","1,423",114,46,26,127,737,226,511,473,45.0,107,37.7,370,99.97,23,251,"6'8""",2011
Wesley Matthews,SG,POR,68,0,"2,282",936,115,99,15,76,228,57,171,325,41.7,133,38.4,153,60.47,25,218,"6'5""",2011
Evan Turner,SF,PHI,67,0,"1,774",639,187,41,20,112,392,28,364,271,44.6,12,23.1,85,34.03,23,220,"6'6""",2011
Jamal Crawford,SG,POR,62,0,"1,664",857,203,58,15,116,123,17,106,290,38.1,80,29.9,197,61.79,31,185,"6'5""",2011
Kyle Korver,SG,CHI,66,0,"1,482",520,115,35,15,56,164,26,138,176,42.7,116,43.1,52,34.76,30,212,"6'7""",2011
Luc Richard Mbah a Moute,PF,MIL,45,0,"1,038",349,30,43,24,42,232,79,153,140,51.1,2,40.0,67,30.58,25,230,"6'8""",2011
Michael Beasley,SF,MIN,48,0,"1,123",563,48,18,21,80,214,42,172,229,44.6,38,38.0,67,24.04,23,235,"0'0""",2011
Russell Westbrook,PG,OKC,68,0,"2,370","1,582",369,116,21,246,306,97,209,587,45.8,64,32.0,344,99.78,23,200,"6'3""",2011
Kyrie Irving,PG,CLE,52,0,"1,572",954,276,58,19,164,196,44,152,351,46.1,70,37.8,182,91.54,19,195,"6'2""",2011
Louis Williams,SG,PHI,66,0,"1,721",985,223,54,18,75,157,31,126,326,40.9,84,36.1,249,74.48,25,175,"6'2""",2011
Martell Webster,SF,MIN,46,0,"1,118",315,40,29,17,46,164,40,124,113,42.6,36,34.0,53,18.55,25,230,"6'7""",2011
