Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,TVS,Age,Weight,Height,Year
Norman Powell,SG,TOR,49,24,725,273,47,29,10,32,111,16,95,97,42.4,36,40.9,43,45.01,22,215,"6'4""",2015
Pat Connaughton,SG,POR,34,0,142,36,10,2,0,10,32,11,21,13,26.5,5,23.8,5,0.0,23,214,"6'5""",2015
Darrun Hilliard II,SG,DET,38,2,383,152,26,9,1,19,45,5,40,52,39.4,19,38.0,29,23.8,22,220,"6'6""",2015
Elton Brand,PF,PHI,17,1,224,70,18,9,8,11,63,9,54,31,43.1,0,0.0,8,0.0,36,254,"6'9""",2015
Jarell Eddie,SF,WAS,26,0,146,63,5,5,1,1,23,2,21,20,30.8,15,31.9,8,0.0,24,218,"6'7""",2015
Lamar Patterson,SG,ATL,35,0,400,84,39,9,2,23,50,4,46,28,35.0,12,24.5,16,21.41,24,225,"6'5""",2015
Josh Richardson,SG,MIA,52,2,"1,106",341,73,36,25,35,107,21,86,123,45.2,53,46.1,42,59.75,22,200,"6'6""",2015
Brandon Dawson,SF,LAC,6,0,28,5,0,0,1,0,4,2,2,2,40.0,0,0.0,1,0.0,22,225,"6'6""",2015
Jonathon Simmons,SF,SAS,55,2,812,331,58,24,5,53,95,16,79,122,50.6,18,38.3,69,38.2,26,195,"6'6""",2015
Luis Montero,SG,POR,12,0,42,14,1,0,0,4,4,0,4,5,26.3,1,11.1,3,0.0,22,200,"6'7""",2015
Aaron Harrison,SG,CHA,21,0,93,18,2,6,0,4,15,4,11,5,26.3,3,30.0,5,0.0,21,210,"6'6""",2015
Duje Dukan,PF,SAC,1,0,24,6,1,1,0,0,4,2,2,2,20.0,2,40.0,0,0.0,24,220,"6'9""",2015
Cliff Alexander,PF,POR,8,0,35,10,0,1,2,1,6,2,4,5,50.0,0,0.0,0,0.0,20,245,"6'8""",2015
Salah Mejri,C,DAL,33,6,397,125,10,8,34,23,123,41,82,49,62.8,0,0.0,27,30.71,29,235,"7'2""",2015
Marcelo Huertas,PG,LAL,53,0,868,237,182,26,7,80,90,18,72,97,42.2,16,26.2,27,36.17,32,200,"6'3""",2015
T.J. McConnell,PG,PHI,81,17,"1,605",493,367,95,10,140,250,43,207,218,47.0,31,34.8,26,66.86,23,190,"6'2""",2015
Sean Kilpatrick,SG,BKN,155,0,"3,080","1,725",145,60,10,155,280,60,220,615,228.0,195,171.0,300,279.9,26,219,"6'4""",2015
Jorge Gutierrez,PG,CHA,36,0,189,66,51,9,0,18,21,0,21,18,163.5,0,0.0,30,0.0,27,195,"6'3""",2015
J.J Hickson,PF,WAS,35,9,436,206,23,15,14,25,132,39,93,80,51.6,0,0.0,46,48.3,27,242,"6'9""",2015
Jeff Ayres,PF,LAC,51,0,318,90,15,0,9,18,66,12,54,36,156.6,0,0.0,18,0.0,28,250,"6'9""",2015
Joe Johnson,SG,MIA,81,81,"2,703",992,318,61,4,160,292,49,243,377,43.9,120,38.3,118,88.14,34,240,"6'7""",2015
JaKarr Sampson,SG,DEN,73,40,"1,159",374,46,23,33,70,190,46,144,140,44.0,14,22.2,80,28.33,22,214,"6'7""",2015
Andre Miller,PG,SAS,40,4,462,144,87,16,0,37,51,12,39,59,55.7,2,25.0,24,34.11,39,200,"6'3""",2015
Kris Humphries,PF,ATL,53,17,834,343,36,16,24,38,218,57,161,121,41.0,34,31.5,67,50.78,30,235,"6'9""",2015
Bryce Dejean-Jones,PG,NOP,42,33,834,237,45,30,6,33,144,24,120,84,121.8,36,112.5,33,0.0,23,210,"0'0""",2015
Michael Beasley,SF,HOU,20,0,362,255,16,11,9,24,98,29,69,107,52.2,3,33.3,38,0.0,27,235,"0'0""",2015
Lorenzo Brown,PG,DET,40,0,300,100,55,15,5,45,35,0,35,40,160.0,5,62.5,15,0.0,25,189,"6'5""",2015
Chase Budinger,SF,PHX,66,2,928,271,64,32,10,44,150,43,107,104,43.5,24,27.9,39,35.99,27,215,"6'7""",2015
Jordan McRae,SG,CLE,88,4,780,396,100,12,4,60,80,16,64,136,174.4,40,182.0,84,0.0,24,179,"6'5""",2015
Kevin Martin,SG,SAS,55,13,"1,094",514,58,26,3,54,110,14,96,156,37.2,49,36.3,153,48.3,32,199,"6'7""",2015
Marcus Thornton,SG,WAS,61,8,"1,108",590,85,47,4,51,149,38,111,216,39.9,91,33.6,67,65.8,28,205,"6'4""",2015
Andrew Goudelock,PG,HOU,8,0,49,22,4,6,2,7,2,1,1,9,45.0,1,11.1,3,0.0,27,200,"0'0""",2015
Jordan Farmar,PG,MEM,24,20,582,220,74,30,4,36,50,8,42,84,84.0,32,71.2,20,0.0,29,180,"6'2""",2015
Tim Frazier,PG,NOP,102,4,"1,482",522,324,66,4,130,220,52,168,192,83.4,32,66.6,106,113.8,25,170,"6'0""",2015
Axel Toupane,SG,DEN,63,0,915,228,45,21,18,18,93,24,69,75,107.1,39,97.5,39,0.0,23,210,"6'7""",2015
Alan Williams,PF,PHX,20,0,136,58,10,8,10,12,76,28,48,20,83.4,0,0.0,18,0.0,23,265,"6'8""",2015
Ryan Hollins,C,MEM,74,24,918,248,20,12,42,48,196,94,102,98,124.0,0,0.0,52,0.0,31,230,"7'0""",2015
Jordan Hamilton,SF,NOP,22,8,606,250,50,16,6,34,124,24,100,98,84.4,26,57.8,28,0.0,25,220,"6'7""",2015
Orlando Johnson,SG,IND,14,2,202,52,4,6,6,8,30,8,22,18,51.4,4,36.4,12,0.0,26,220,"6'5""",2015
Justin Harper,SF,DET,10,0,70,26,0,2,0,4,2,0,2,8,80.0,8,88.8,2,0.0,26,225,"6'9""",2015
Erick Green,PG,UTA,18,0,84,26,6,2,0,0,12,6,6,10,77.0,2,40.0,4,0.0,24,184,"6'4""",2015
Christian Wood,PF,PHI,51,0,432,183,9,15,21,6,114,39,75,66,124.5,12,109.2,39,0.0,20,214,"6'9""",2015
Xavier Munford,PG,MEM,42,0,732,240,66,39,9,45,93,9,84,96,124.8,27,117.3,21,0.0,23,173,"6'4""",2015
James Ennis III,SF,NOP,44,10,656,318,42,32,10,38,84,42,42,108,95.6,52,89.6,50,0.0,25,215,"6'6""",2015
Bryce Cotton,PG,MEM,16,0,76,16,6,6,0,10,0,0,0,8,80.0,0,0.0,0,0.0,23,165,"6'1""",2015
Keith Appling,PG,ORL,10,0,52,12,2,2,0,6,2,0,2,4,50.0,0,0.0,4,0.0,23,185,"0'0""",2015
Coty Clarke,PF,BOS,6,0,10,12,0,0,0,2,2,0,2,4,100.0,4,200.0,0,0.0,23,225,"0'0""",2015
Elliot Williams,SG,MEM,5,0,45,8,4,1,0,1,4,1,3,2,20.0,1,25.0,3,0.0,26,183,"6'5""",2015
Jimmer Fredette,PG,NYK,6,0,17,9,0,1,0,2,0,0,0,2,40.0,1,50.0,4,0.0,26,195,"6'2""",2015
Ray McCallum,PG,MEM,41,6,474,137,60,12,7,24,47,8,39,55,37.7,15,35.7,12,0.0,24,190,"6'3""",2015
Cory Jefferson,PF,PHX,6,0,50,22,0,0,1,0,16,6,10,9,40.9,0,0.0,4,0.0,25,218,"6'9""",2015
Briante Weber,PG,MEM,14,8,336,62,42,18,6,18,50,16,34,28,71.8,0,0.0,6,0.0,23,170,"6'2""",2015
Thanasis Antetokounmpo,SF,NYK,2,0,6,6,0,0,0,0,1,0,1,3,75.0,0,0.0,0,0.0,23,222,"6'7""",2015
J.J. O'Brien,SF,UTA,2,0,6,0,0,1,0,0,1,0,1,0,0.0,0,0.0,0,0.0,23,220,"6'7""",2015
Dorell Wright,SF,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,30,205,"6'9""",2015
John Holland,SF,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,27,205,"6'5""",2015
Dahntay Jones,SF,CLE,1,0,42,13,2,1,2,0,5,1,4,6,42.9,1,50.0,0,0.0,35,225,"6'6""",2015
LeBron James,SF,CLE,74,74,"2,794","1,954",647,92,44,302,641,97,544,736,54.8,124,36.3,358,95.23,32,250,"6'9""",2016
Al Horford,C,BOS,68,68,"2,193",952,337,52,87,116,462,95,367,379,47.3,86,35.5,108,26.13,30,240,"6'9""",2016
Mike Conley,PG,MEM,69,68,"2,291","1,415",433,92,19,156,243,31,212,464,46.0,171,40.8,316,22.81,29,175,"6'1""",2016
Russell Westbrook,PG,OKC,81,81,"2,801","2,558",840,134,31,438,864,137,727,824,42.5,200,34.3,710,100.0,28,200,"6'3""",2016
James Harden,SG,HOU,81,81,"2,947","2,356",906,123,38,464,660,94,566,674,44.0,262,34.7,746,99.35,27,220,"6'5""",2016
DeMar DeRozan,SG,TOR,74,74,"2,620","2,020",290,75,13,180,387,70,317,721,46.7,33,26.6,545,25.26,27,220,"6'6""",2016
Dirk Nowitzki,PF,DAL,54,54,"1,424",769,82,30,38,51,351,23,328,296,43.7,79,37.8,98,3.17,38,245,"7'0""",2016
Carmelo Anthony,SF,NYK,74,74,"2,538","1,659",212,61,31,153,438,64,374,602,43.3,151,36.0,304,20.58,32,238,"6'7""",2016
Damian Lillard,PG,POR,75,75,"2,693","2,024",439,69,20,196,368,46,322,661,44.4,214,37.0,488,56.91,26,200,"6'2""",2016
Dwyane Wade,SG,CHI,60,59,"1,792","1,096",228,85,41,138,271,64,207,414,43.4,45,31.0,223,15.86,35,220,"6'4""",2016
Chris Paul,PG,LAC,61,61,"1,920","1,104",563,119,8,147,304,40,264,374,47.6,124,41.1,232,88.85,31,175,"6'1""",2016
Hassan Whiteside,C,MIA,77,77,"2,513","1,309",57,56,162,154,"1,089",294,795,542,55.7,0,0.0,225,39.48,27,265,"7'0""",2016
Chandler Parsons,SF,MEM,34,34,674,210,55,20,5,24,84,6,78,75,33.8,25,26.9,35,0.08,28,230,"0'0""",2016
Bradley Beal,SG,WAS,78,77,"2,684","1,779",268,86,21,156,240,53,187,637,48.2,223,40.4,282,22.63,23,207,"6'4""",2016
Harrison Barnes,SF,DAL,79,79,"2,803","1,518",117,67,14,103,398,95,303,599,46.8,78,35.1,242,7.0,24,225,"6'8""",2016
Derrick Rose,PG,NYK,64,64,"2,081","1,154",283,44,17,147,245,65,180,460,47.1,13,21.7,221,17.54,28,200,"6'3""",2016
Kevin Love,C,CLE,60,60,"1,884","1,142",116,53,22,122,667,148,519,370,42.7,145,37.3,257,42.02,28,251,"6'8""",2016
Brook Lopez,C,BKN,75,75,"2,222","1,539",176,38,124,184,404,119,285,555,47.3,134,34.7,295,44.63,28,284,"7'1""",2016
Nicolas Batum,SG,CHA,77,77,"2,617","1,164",455,88,30,193,483,48,435,393,40.3,135,33.3,243,21.98,28,230,"6'8""",2016
Blake Griffin,PF,LAC,61,61,"2,076","1,316",300,58,23,141,496,111,385,479,49.3,38,33.6,320,89.95,27,250,"6'9""",2016
Paul Millsap,PF,ATL,69,67,"2,342","1,246",252,90,62,160,534,111,423,430,44.2,75,31.1,311,68.88,31,257,"6'7""",2016
Allen Crabbe,SG,POR,79,7,"2,254",845,94,54,20,62,224,19,205,303,46.8,134,44.4,105,2.9,24,212,"0'0""",2016
Paul George,SF,IND,75,75,"2,689","1,775",251,118,26,219,492,58,434,622,46.1,195,39.3,336,87.29,26,220,"6'8""",2016
Jimmy Butler,SG,CHI,76,75,"2,808","1,816",417,143,31,159,470,128,342,570,45.5,91,36.7,585,98.46,27,230,"6'7""",2016
Luol Deng,SF,LAL,57,49,"1,487",425,74,48,20,43,294,63,231,164,38.6,51,31.1,46,2.84,31,237,"0'0""",2016
Kyrie Irving,PG,CLE,72,72,"2,524","1,816",419,83,23,178,227,52,175,671,47.3,177,40.1,297,78.19,24,195,"6'2""",2016
Kawhi Leonard,SF,SAS,74,74,"2,474","1,888",260,131,55,154,429,80,349,636,48.5,147,38.0,469,99.09,25,225,"6'7""",2016
Tobias Harris,PF,DET,82,48,"2,566","1,321",141,60,40,93,416,63,353,511,48.0,109,34.6,190,47.75,24,226,"6'7""",2016
Wesley Matthews,SG,DAL,73,73,"2,494",986,210,74,16,102,261,19,242,333,39.3,174,36.3,146,17.69,30,218,"6'5""",2016
Bismack Biyombo,C,ORL,81,27,"1,793",483,74,25,90,95,568,159,409,179,52.5,0,0.0,125,7.77,24,255,"6'8""",2016
Evan Fournier,SG,ORL,69,66,"2,233","1,167",202,67,4,141,209,45,164,408,44.0,128,35.7,223,17.53,24,205,"6'6""",2016
John Wall,PG,WAS,78,78,"2,835","1,805",831,159,50,323,329,57,272,647,45.1,89,32.7,422,98.39,26,210,"6'3""",2016
Klay Thompson,SG,GSW,78,78,"2,649","1,742",160,66,39,128,287,49,238,644,46.8,268,41.4,186,46.47,26,220,"6'6""",2016
Evan Turner,SF,POR,65,12,"1,658",586,205,55,24,100,246,36,210,235,42.6,31,26.3,85,4.65,28,220,"6'6""",2016
Gordon Hayward,SF,UTA,73,73,"2,515","1,601",252,73,20,140,394,48,346,545,47.2,149,39.8,362,92.27,26,225,"6'7""",2016
Timofey Mozgov,C,LAL,54,52,"1,103",401,43,16,32,72,266,105,161,169,51.5,0,0.0,63,6.93,30,275,"0'0""",2016
Goran Dragic,PG,MIA,73,73,"2,459","1,483",424,88,13,211,278,61,217,534,47.4,117,40.3,298,72.18,30,190,"6'4""",2016
Kent Bazemore,SF,ATL,73,64,"1,962",801,177,92,53,123,228,45,183,295,40.9,92,34.6,119,8.59,27,195,"6'4""",2016
Pau Gasol,C,SAS,64,39,"1,626",792,150,24,70,81,499,106,393,303,50.2,56,53.8,130,52.78,36,250,"0'0""",2016
Tristan Thompson,C,CLE,78,78,"2,336",630,77,39,85,65,718,287,431,262,60.0,0,0.0,106,35.79,25,250,"6'9""",2016
Draymond Green,PF,GSW,76,76,"2,470",776,532,154,105,184,599,98,501,272,41.8,81,30.8,151,94.15,26,235,"6'6""",2016
Khris Middleton,SF,MIL,29,23,889,426,98,41,7,65,122,12,110,150,45.0,45,43.3,81,35.68,25,235,"6'7""",2016
Jeff Green,SF,ORL,69,11,"1,533",638,80,38,15,75,211,38,173,220,39.4,53,27.5,145,2.41,30,235,"6'8""",2016
Reggie Jackson,PG,DET,52,50,"1,424",752,271,35,5,114,114,21,93,284,41.9,66,35.9,118,18.05,26,208,"6'2""",2016
Tony Parker,PG,SAS,63,63,"1,587",638,285,33,2,89,112,10,102,265,46.6,23,33.3,85,8.22,34,185,"6'2""",2016
Jonas Valanciunas,C,TOR,80,80,"2,065",959,57,38,64,106,761,227,534,391,55.7,1,50.0,176,32.86,24,265,"7'0""",2016
DeMarre Carroll,SF,TOR,72,72,"1,881",638,74,81,28,54,276,63,213,220,40.1,109,34.1,89,18.13,30,215,"6'6""",2016
Thaddeus Young,PF,IND,74,74,"2,236",814,120,114,30,95,448,131,317,362,52.7,45,38.1,45,48.8,28,235,"6'8""",2016
Rajon Rondo,PG,CHI,69,42,"1,842",538,459,100,11,168,358,73,285,229,40.8,50,37.6,30,38.9,30,180,"6'1""",2016
Manu Ginobili,SG,SAS,69,0,"1,291",517,183,82,16,96,157,29,128,171,39.0,89,39.2,86,12.45,39,205,"6'6""",2016
Eric Bledsoe,PG,PHX,66,66,"2,176","1,390",419,92,31,223,322,52,270,449,43.3,104,33.7,388,90.96,27,214,"6'1""",2016
Ricky Rubio,PG,MIN,75,75,"2,469",836,680,128,10,196,306,68,238,261,40.2,60,30.6,254,67.41,26,190,"6'3""",2016
Rudy Gay,SF,SAC,30,30,"1,012",562,83,45,26,74,190,35,155,201,45.5,42,37.2,118,69.88,30,250,"6'8""",2016
Jamal Crawford,SG,LAC,82,1,"2,157","1,008",213,60,14,134,129,17,112,359,41.3,116,36.0,174,7.6,36,185,"6'5""",2016
Robin Lopez,C,CHI,81,81,"2,271",839,81,18,118,89,518,244,274,382,49.3,0,0.0,75,30.32,28,295,"7'0""",2016
Michael Kidd-Gilchrist,SF,CHA,81,81,"2,348",743,113,79,76,56,563,155,408,295,47.7,1,11.1,152,41.56,23,230,"6'6""",2016
J.R. Smith,SG,CLE,41,35,"1,187",351,61,41,11,26,113,17,96,123,34.6,95,35.1,10,7.19,31,225,"6'6""",2016
Brandon Knight,PG,PHX,54,5,"1,138",595,129,27,5,88,120,24,96,209,39.9,45,32.4,132,5.5,25,182,"6'2""",2016
Arron Afflalo,SG,SAC,61,45,"1,579",515,78,23,7,42,125,10,115,185,44.0,62,41.1,83,4.32,31,210,"6'5""",2016
Jordan Clarkson,SG,LAL,82,19,"2,396","1,205",213,89,8,164,245,48,197,477,44.6,117,32.9,134,22.79,24,194,"6'5""",2016
Tyson Chandler,C,PHX,47,46,"1,297",397,30,33,24,67,538,155,383,153,67.1,0,0.0,91,37.31,34,235,"7'0""",2016
Eric Gordon,SG,HOU,75,15,"2,323","1,217",188,48,39,120,202,29,173,412,40.6,246,37.2,147,31.18,28,215,"6'3""",2016
John Henson,PF,MIL,58,39,"1,122",392,57,30,81,53,295,92,203,159,51.3,0,0.0,74,19.94,26,219,"6'9""",2016
Marvin Williams,PF,CHA,76,76,"2,295",849,106,58,54,60,494,88,406,297,42.2,124,35.1,131,40.24,30,237,"6'8""",2016
Stephen Curry,PG,GSW,79,79,"2,638","1,999",522,144,17,238,354,61,293,675,46.7,324,41.0,325,99.92,28,200,"6'3""",2016
Kenneth Faried,PF,DEN,61,34,"1,295",587,55,43,41,58,458,179,279,228,54.9,0,0.0,131,35.63,27,220,"6'8""",2016
Amir Johnson,PF,BOS,80,77,"1,608",520,141,50,63,78,363,116,247,213,57.7,27,40.9,67,31.15,29,240,"6'9""",2016
Kyle Lowry,PG,TOR,60,60,"2,244","1,344",417,89,20,173,288,48,240,426,46.4,193,41.2,299,99.25,30,196,"6'0""",2016
Kemba Walker,PG,CHA,79,79,"2,739","1,830",435,86,20,168,311,45,266,643,44.4,240,39.9,304,97.11,26,184,"6'0""",2016
Jeremy Lin,PG,BKN,36,33,882,523,184,41,15,86,135,11,124,175,43.8,58,37.2,115,52.0,28,200,"0'0""",2016
Jrue Holiday,PG,NOP,67,61,"2,189","1,029",488,99,43,194,261,44,217,405,45.4,100,35.6,119,88.2,26,220,"6'5""",2016
Courtney Lee,SG,NYK,77,74,"2,459",835,179,81,22,69,258,53,205,321,45.6,108,40.3,85,31.25,31,215,"6'5""",2016
Solomon Hill,SF,NOP,80,71,"2,374",563,141,72,32,82,306,50,256,183,38.4,94,34.8,103,19.76,25,226,"6'6""",2016
Wilson Chandler,SF,DEN,71,33,"2,196","1,117",142,52,32,113,460,104,356,433,46.1,110,33.7,141,57.28,29,235,"6'8""",2016
Andre Iguodala,SF,GSW,76,0,"1,997",574,260,77,38,58,304,51,253,219,52.8,64,36.2,72,50.79,33,215,"6'6""",2016
Derrick Favors,PF,UTA,50,39,"1,185",476,56,44,40,60,303,93,210,203,48.7,3,30.0,67,31.65,25,265,"6'9""",2016
Joe Johnson,SG,UTA,78,14,"1,842",715,144,35,18,70,243,33,210,273,43.7,106,40.9,63,21.76,35,240,"6'7""",2016
Austin Rivers,SG,LAC,74,29,"2,053",889,204,49,10,115,160,20,140,323,44.2,111,37.1,132,19.94,24,200,"6'4""",2016
Monta Ellis,SG,IND,74,33,"1,997",630,237,77,27,135,202,19,183,247,44.3,43,31.9,93,16.99,31,185,"6'3""",2016
Tyreke Evans,SG,SAC,40,6,788,411,125,35,9,61,136,12,124,150,40.5,42,35.6,69,26.21,27,220,"6'6""",2016
Mirza Teletovic,PF,MIL,70,2,"1,133",451,48,12,13,37,161,11,150,156,37.3,104,34.1,35,3.84,31,242,"6'9""",2016
Jared Dudley,SF,PHX,64,7,"1,362",434,121,42,16,72,223,30,193,157,45.4,77,37.9,43,19.82,31,237,"6'6""",2016
Zach Randolph,PF,MEM,73,5,"1,786","1,028",122,38,10,99,598,182,416,433,44.9,21,22.3,141,54.57,35,250,"6'9""",2016
Alec Burks,SG,UTA,42,0,653,283,30,18,5,35,120,17,103,99,39.9,25,32.9,60,6.32,25,214,"6'6""",2016
Danny Green,SG,SAS,68,68,"1,806",497,124,72,57,75,222,31,191,176,39.3,118,38.1,27,38.68,29,215,"6'6""",2016
Terrence Ross,SG,ORL,78,24,"1,954",858,88,87,33,68,208,18,190,326,43.7,142,36.3,64,29.93,25,206,"6'7""",2016
Omer Asik,C,NOP,32,19,483,85,15,5,10,14,163,48,115,31,47.7,0,0.0,23,8.79,30,255,"7'0""",2016
Iman Shumpert,SG,CLE,76,31,"1,937",567,109,62,27,78,218,39,179,201,41.1,94,35.9,71,16.28,26,212,"6'5""",2016
Matthew Dellavedova,PG,MIL,76,54,"1,986",577,358,50,0,133,149,23,126,208,39.0,79,36.4,82,11.74,26,200,"6'3""",2016
Maurice Harkless,SF,POR,77,69,"2,223",773,88,84,68,85,342,125,217,314,50.2,68,35.1,77,46.28,23,220,"6'9""",2016
Jerryd Bayless,PG,PHI,3,1,71,33,13,0,0,9,12,3,9,11,34.4,2,40.0,9,0.0,28,200,"0'0""",2016
Trevor Booker,PF,BKN,71,43,"1,754",709,138,75,28,125,572,143,429,305,51.6,25,32.1,74,60.07,29,228,"6'8""",2016
Meyers Leonard,PF,POR,74,12,"1,221",401,71,13,28,36,236,27,209,146,38.6,74,34.7,35,11.41,24,260,"7'0""",2016
Gerald Henderson,SG,PHI,72,41,"1,667",662,112,41,14,65,185,34,151,234,42.5,61,35.3,133,16.37,29,215,"6'5""",2016
Taj Gibson,PF,OKC,78,71,"1,988",846,73,43,65,107,488,159,329,365,51.6,3,23.1,113,42.23,31,232,"6'9""",2016
Jeff Teague,PG,IND,82,82,"2,657","1,254",638,101,32,216,331,33,298,402,44.2,90,35.7,360,95.47,28,195,"6'3""",2016
Ersan Ilyasova,PF,ATL,82,52,"2,142","1,073",138,59,24,116,483,116,367,384,43.2,142,35.3,163,63.25,29,235,"6'9""",2016
Avery Bradley,SG,BOS,55,55,"1,834",894,121,68,11,88,334,65,269,359,46.3,108,39.0,68,77.16,26,180,"6'3""",2016
E'Twaun Moore,SG,NOP,73,22,"1,819",700,164,50,31,61,152,33,119,283,45.6,77,37.0,57,29.95,27,191,"6'3""",2016
Darrell Arthur,PF,DEN,41,7,638,262,42,20,21,36,111,25,86,95,44.2,53,45.3,19,19.76,28,235,"6'9""",2016
Kosta Koufos,C,SAC,71,62,"1,419",470,46,35,48,61,404,118,286,216,55.1,0,0.0,38,27.82,27,245,"7'0""",2016
Sergio Rodriguez,SG,PHI,68,30,"1,517",530,345,48,4,128,161,21,140,210,39.2,92,36.5,18,26.27,30,176,"6'3""",2016
George Hill,PG,UTA,49,49,"1,544",829,203,49,11,85,167,23,144,289,47.7,94,40.2,157,87.34,30,188,"6'4""",2016
Anthony Tolliver,PF,SAC,65,9,"1,476",461,77,33,20,56,236,51,185,155,44.2,90,39.3,61,26.4,31,240,"6'8""",2016
Garrett Temple,SG,SAC,65,20,"1,728",506,168,84,28,78,184,32,152,183,42.4,82,37.1,58,41.39,30,195,"6'6""",2016
Tyler Zeller,C,BOS,51,5,524,178,42,7,22,20,124,43,81,78,49.4,0,0.0,22,12.91,27,255,"7'0""",2016
Trevor Ariza,SF,HOU,80,80,"2,772",935,175,147,20,74,458,54,404,326,40.9,190,34.3,93,86.47,31,215,"6'8""",2016
Channing Frye,PF,CLE,74,15,"1,397",676,45,33,38,53,290,37,253,238,45.8,137,41.0,63,31.8,33,255,"7'0""",2016
Al-Farouq Aminu,PF,POR,62,25,"1,773",532,100,61,44,94,451,77,374,183,39.2,70,32.9,96,54.37,26,220,"6'8""",2016
Corey Brewer,SG,LAL,82,11,"1,281",371,97,62,19,55,166,32,134,147,42.2,27,22.9,50,10.92,30,186,"6'9""",2016
Markieff Morris,PF,WAS,76,76,"2,374","1,063",126,82,44,129,493,108,385,406,45.7,71,36.2,180,70.02,27,245,"6'9""",2016
J.J. Redick,SG,LAC,78,78,"2,198","1,173",110,56,13,98,172,12,160,396,44.4,201,42.9,180,59.94,32,200,"6'3""",2016
Cory Joseph,PG,TOR,80,22,"2,002",740,266,69,11,109,234,51,183,299,45.2,48,35.6,94,44.14,25,200,"6'3""",2016
Louis Williams,SG,HOU,81,1,"1,993","1,419",239,80,20,160,203,26,177,427,42.8,163,36.6,402,79.52,30,175,"6'2""",2016
Boris Diaw,C,UTA,73,33,"1,282",338,170,18,9,87,158,46,112,146,44.6,20,24.7,26,17.1,34,250,"6'8""",2016
Boban Marjanovic,C,DET,34,0,293,191,9,6,12,10,130,46,84,72,54.5,0,0.0,47,22.65,28,286,"7'4""",2016
Ed Davis,PF,POR,46,12,789,200,26,15,22,37,243,96,147,75,52.8,0,0.0,50,20.84,27,218,"6'9""",2016
Isaiah Thomas,PG,BOS,76,76,"2,568","2,199",448,70,12,209,205,43,162,682,46.3,245,37.9,590,99.95,27,185,"5'9""",2016
Victor Oladipo,SG,OKC,67,67,"2,222","1,067",176,77,22,119,291,39,252,412,44.3,127,36.1,116,80.43,24,213,"6'4""",2016
Jodie Meeks,SG,ORL,36,10,737,327,45,34,4,36,77,5,72,103,40.2,56,40.9,65,30.61,29,210,"0'0""",2016
Jeremy Lamb,SG,CHA,62,5,"1,142",603,74,27,24,40,264,31,233,226,45.9,41,27.9,110,38.42,24,180,"6'5""",2016
Spencer Hawes,PF,MIL,54,1,797,337,81,15,30,49,191,38,153,134,48.4,25,30.9,44,31.97,28,245,"7'1""",2016
Marco Belinelli,SG,CHA,74,0,"1,777",780,147,44,9,70,178,14,164,264,42.9,102,36.2,150,39.36,30,220,"6'5""",2016
Jae Crowder,SF,BOS,72,72,"2,332",999,155,72,23,79,419,49,370,333,46.2,157,39.8,176,86.94,26,251,"6'6""",2016
Lance Thomas,SF,NYK,46,15,967,275,35,21,5,25,144,32,112,97,39.8,38,44.7,43,14.52,28,235,"6'8""",2016
Tarik Black,PF,LAL,67,16,"1,090",383,39,28,44,58,343,143,200,150,51.2,1,50.0,82,27.97,25,250,"6'9""",2016
Andrew Nicholson,PF,BKN,39,0,342,100,10,16,6,17,61,15,46,43,38.7,5,18.5,9,5.64,27,250,"6'9""",2016
Patrick Patterson,PF,TOR,65,8,"1,598",445,76,41,23,38,291,62,229,154,40.1,94,37.2,43,48.22,27,235,"6'8""",2016
Andrew Wiggins,SF,MIN,82,82,"3,048","1,933",190,82,30,188,328,101,227,709,45.2,103,35.6,412,83.9,21,209,"6'7""",2016
Ramon Sessions,PG,CHA,50,1,810,312,129,24,3,46,73,11,62,100,38.0,21,33.9,91,19.47,30,190,"6'3""",2016
Patrick Beverley,PG,HOU,67,67,"2,057",639,281,98,25,100,396,95,301,228,42.0,110,38.3,73,88.89,28,180,"6'2""",2016
Wayne Ellington,SG,MIA,62,13,"1,499",648,70,36,5,29,132,18,114,231,41.6,149,37.8,37,41.94,29,207,"6'4""",2016
Ishmael Smith,PG,DET,81,32,"1,955",758,419,61,33,112,233,21,212,329,44.0,28,26.7,72,64.23,28,175,"6'0""",2016
Alex Abrines,SG,OKC,68,6,"1,055",406,40,37,9,33,85,18,67,134,39.3,94,38.1,44,16.34,24,200,"6'6""",2016
Karl-Anthony Towns,C,MIN,82,82,"3,030","2,061",220,58,103,212,"1,007",297,710,802,54.2,101,36.7,356,99.85,21,252,"7'0""",2016
Otto Porter Jr.,SF,WAS,80,80,"2,605","1,075",120,116,41,43,514,117,397,414,51.6,148,43.3,99,98.28,23,198,"6'8""",2016
Shaun Livingston,PG,GSW,76,3,"1,344",389,140,37,21,61,153,29,124,173,55.1,1,50.0,42,22.58,31,192,"6'7""",2016
Wesley Johnson,SF,LAC,68,3,810,186,23,29,30,18,181,26,155,73,36.5,29,24.6,11,12.73,29,215,"6'7""",2016
Tyler Johnson,SG,MIA,73,0,"2,177","1,002",233,84,44,91,292,50,242,357,43.4,93,37.3,195,57.61,24,186,"6'3""",2016
