"name","yearSeason","agePlayer","position","team","countGames","pctFG","pctFG3","pctFG2","pctEFG","pctFT","idPlayerNBA","minutesPerGame","fgmPerGame","fgaPerGame","fg3mPerGame","fg3aPerGame","fg2mPerGame","fg2aPerGame","ftmPerGame","ftaPerGame","orbPerGame","drbPerGame","trbPerGame","astPerGame","stlPerGame","blkPerGame","tovPerGame","pfPerGame","ptsPerGame","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals"
"Monta Ellis",2011,25,"SG","GSW",80,0.451,0.361,0.478,0.493,0.789,101145,40.3,9.1,20.1,1.7,4.7,7.4,15.4,4.3,5.4,0.6,3,3.5,5.6,2.1,0.3,3.2,2.5,24.1,3227,18.6,0.536,0.235,0.268,0.015,0.085,0.049,0.234,0.026,0.5,0.123,0.281,4.3,1.7,6,0.089,1.7,-0.9,0.8,2.3,3227,726,1611,137,379,589,1232,340,431,44,237,281,450,168,23,252,203,1929
"Tyreke Evans",2011,21,"SG","SAC",57,0.409,0.291,0.432,0.432,0.771,201936,37,6.7,16.4,0.8,2.6,5.9,13.8,3.6,4.7,0.8,4,4.8,5.6,1.5,0.5,3.2,2.5,17.8,2107,14.4,0.482,0.159,0.285,0.024,0.127,0.074,0.249,0.02,0.01,0.149,0.253,-0.1,1.7,1.6,0.036,-0.1,0.2,0,1.1,2107,382,933,43,148,339,785,205,266,46,229,275,319,85,30,184,143,1012
"Rudy Fernandez",2011,25,"SG","POR",78,0.37,0.321,0.453,0.471,0.863,201164,23.3,2.7,7.4,1.5,4.6,1.2,2.7,1.6,1.9,0.5,1.7,2.2,2.5,1.1,0.2,1.1,1.7,8.6,1821,13.4,0.522,0.628,0.254,0.024,0.095,0.058,0.169,0.026,0.6,0.121,0.187,2,1.8,3.8,0.1,0.1,0.8,0.9,1.3,1821,213,575,116,361,97,214,126,146,37,135,172,193,87,14,88,134,668
"Landry Fields",2011,22,"SG","NYK",82,0.497,0.393,0.556,0.568,0.769,202361,31,3.6,7.3,1,2.7,2.6,4.7,1.4,1.8,1.3,5.1,6.4,1.9,1,0.2,1.3,1.4,9.7,2541,13.5,0.598,0.364,0.244,0.047,0.189,0.117,0.09,0.016,0.5,0.138,0.135,3.4,1.8,5.3,0.1,0.6,-0.4,0.2,1.4,2541,299,602,86,219,213,383,113,147,105,416,521,155,80,17,107,114,797
"Randy Foye",2011,27,"SG","LAC",63,0.388,0.327,0.43,0.455,0.893,200751,24.6,3.3,8.4,1.1,3.4,2.1,5,2.1,2.4,0.2,1.4,1.6,2.7,0.7,0.3,1.5,1.9,9.8,1551,11.4,0.516,0.409,0.281,0.01,0.067,0.039,0.175,0.016,0.011,0.137,0.199,0.9,0.8,1.7,0.051,-1.1,-0.7,-1.8,0.1,1551,206,531,71,217,135,314,133,149,13,90,103,170,47,21,95,122,616
"Paul George",2011,20,"SG","IND",61,0.453,0.297,0.537,0.505,0.762,202331,20.7,2.9,6.5,0.7,2.3,2.3,4.2,1.3,1.7,0.6,3.1,3.7,1.1,1,0.4,1.1,2.1,7.8,1265,13,0.542,0.349,0.256,0.033,0.163,0.098,0.083,0.025,0.015,0.137,0.178,0.5,1.9,2.4,0.091,-1.6,1.4,-0.1,0.6,1265,179,395,41,138,138,257,77,101,37,187,224,65,62,26,70,127,476
"Daniel Gibson",2011,24,"SG","CLE",67,0.4,0.403,0.398,0.489,0.822,200789,27.8,3.9,9.9,1.8,4.4,2.2,5.5,2,2.4,0.4,2.3,2.6,3,0.7,0.3,1.2,2.3,11.6,1865,13.2,0.533,0.444,0.247,0.014,0.097,0.055,0.183,0.013,0.9,0.099,0.197,2,0.4,2.4,0.062,0.3,-0.7,-0.4,0.8,1865,264,660,118,293,146,367,134,163,24,153,177,201,48,21,80,154,780
"Manu Ginobili",2011,33,"SG","SAS",80,0.433,0.349,0.497,0.509,0.871,1938,30.3,5.5,12.7,1.9,5.5,3.6,7.2,4.5,5.1,0.5,3.2,3.7,4.9,1.5,0.4,2.2,2,17.4,2426,21.7,0.581,0.433,0.403,0.021,0.118,0.071,0.264,0.026,0.8,0.127,0.26,6.6,3.2,9.9,0.195,4.1,1.3,5.4,4.5,2426,441,1018,154,441,287,577,357,410,42,253,295,393,123,28,174,163,1393
"Ben Gordon",2011,27,"SG","DET",82,0.44,0.402,0.46,0.51,0.85,2732,26,4.1,9.4,1.3,3.2,2.8,6.1,1.7,2,0.5,1.9,2.4,2.1,0.6,0.2,1.7,2.2,11.2,2131,12.4,0.548,0.345,0.208,0.022,0.093,0.056,0.132,0.012,0.6,0.144,0.215,1.3,0.3,1.7,0.037,-0.6,-1.9,-2.5,-0.3,2131,339,770,107,266,232,504,136,160,41,154,195,171,48,16,141,178,921
"Eric Gordon",2011,22,"SG","LAC",56,0.45,0.364,0.488,0.506,0.825,201569,37.7,7.6,16.9,1.9,5.2,5.7,11.8,5.1,6.2,0.8,2.1,2.9,4.4,1.3,0.3,2.7,2.1,22.3,2112,18.5,0.566,0.307,0.367,0.025,0.066,0.045,0.207,0.017,0.7,0.12,0.265,4.2,1.1,5.3,0.12,3,-1,2,2.2,2112,427,949,106,291,321,658,287,348,45,119,164,244,71,18,151,115,1247
