"name","yearSeason","agePlayer","position","team","countGames","pctFG","pctFG3","pctFG2","pctEFG","pctFT","idPlayerNBA","minutesPerGame","fgmPerGame","fgaPerGame","fg3mPerGame","fg3aPerGame","fg2mPerGame","fg2aPerGame","ftmPerGame","ftaPerGame","orbPerGame","drbPerGame","trbPerGame","astPerGame","stlPerGame","blkPerGame","tovPerGame","pfPerGame","ptsPerGame","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals"
"Cartier Martin",2011,26,"SF","WAS",52,0.39,0.394,0.386,0.497,0.7,201858,10.4,1.4,3.5,0.8,1.9,0.6,1.6,0.5,0.8,0.4,1,1.4,0.3,0.3,0.1,0.3,1,4,542,11.7,0.524,0.544,0.22,0.041,0.118,0.078,0.052,0.017,0.8,0.074,0.176,0.5,0.3,0.8,0.071,0.2,-0.8,-0.6,0.2,542,71,182,39,99,32,83,28,40,20,54,74,18,18,6,16,52,209
"Dominic McGuire",2011,25,"SF","CHA",52,0.396,0,0.4,0.396,0.769,201187,14.6,1.4,3.5,0,0,1.4,3.5,0.6,0.8,1.2,2.6,3.8,0.8,0.2,0.6,0.5,1.8,3.3,760,10.4,0.437,0.011,0.214,0.1,0.218,0.159,0.09,0.7,0.035,0.112,0.138,0.1,0.9,0.9,0.059,-3.3,0.3,-2.9,-0.2,760,72,182,0,2,72,180,30,39,63,136,199,43,10,33,25,94,174
"CJ Miles",2011,23,"SF","UTA",78,0.407,0.322,0.459,0.468,0.811,101139,25.2,4.7,11.5,1.4,4.3,3.3,7.2,2,2.5,0.7,2.6,3.3,1.7,0.9,0.5,1.2,2.8,12.8,1969,14.4,0.507,0.377,0.218,0.033,0.124,0.078,0.117,0.02,0.016,0.086,0.251,1.2,1.3,2.5,0.061,-0.1,-0.9,-1,0.5,1969,366,899,109,339,257,560,159,196,54,201,255,135,74,38,93,221,1000
"Andres Nocioni",2011,31,"SF","PHI",54,0.426,0.356,0.478,0.502,0.803,2804,17.2,2.2,5.1,0.8,2.2,1.4,2.9,0.9,1.1,0.4,2.8,3.1,0.8,0.3,0.3,0.9,1.9,6.1,931,10.1,0.538,0.426,0.22,0.024,0.186,0.105,0.074,0.8,0.012,0.134,0.174,0.2,1.1,1.3,0.067,-2.2,-0.3,-2.5,-0.1,931,118,277,42,118,76,159,49,61,19,150,169,45,14,15,47,100,327
"Travis Outlaw",2011,26,"SF","NJN",82,0.375,0.302,0.413,0.427,0.772,2566,28.8,3.3,8.9,0.9,3.1,2.4,5.8,1.6,2.1,0.7,3.3,4,1,0.4,0.4,0.9,1.8,9.2,2358,8.8,0.469,0.345,0.234,0.026,0.14,0.081,0.058,0.8,0.012,0.081,0.173,-0.4,1.2,0.8,0.016,-2.4,-1.1,-3.5,-0.9,2358,274,731,76,252,198,479,132,171,54,271,325,84,34,36,71,148,756
"Anthony Parker",2011,35,"SF","CLE",72,0.399,0.379,0.412,0.476,0.779,1515,29,3.1,7.7,1.2,3.2,1.9,4.5,1,1.3,0.5,2.6,3,3,0.9,0.1,1.1,1.5,8.3,2091,10.5,0.505,0.411,0.172,0.018,0.105,0.06,0.167,0.017,0.4,0.119,0.146,0.9,0.6,1.5,0.034,-1.7,-0.3,-2,0,2091,220,552,86,227,134,325,74,95,33,185,218,218,67,10,80,109,600
"Paul Pierce",2011,33,"SF","BOS",80,0.497,0.374,0.547,0.551,0.86,1718,34.7,6.3,12.8,1.4,3.7,5,9.1,4.8,5.6,0.4,5,5.4,3.3,1,0.6,2.1,2.9,18.9,2774,19.7,0.62,0.291,0.44,0.016,0.166,0.095,0.161,0.015,0.014,0.123,0.24,6.5,5.1,11.6,0.201,3,1.6,4.6,4.6,2774,507,1021,111,297,396,724,386,449,34,396,430,260,80,51,171,231,1511
"Quincy Pondexter",2011,22,"SF","NOH",66,0.406,0.36,0.423,0.456,0.706,202347,11.1,1.1,2.7,0.3,0.8,0.8,2,0.4,0.5,0.3,1,1.3,0.4,0.3,0.2,0.2,1,2.8,734,8.5,0.482,0.278,0.189,0.038,0.108,0.073,0.059,0.013,0.011,0.076,0.137,0.2,0.7,0.9,0.06,-2.4,0.1,-2.3,-0.1,734,73,180,18,50,55,130,24,34,23,65,88,28,17,10,16,63,188
"James Posey",2011,34,"SF","IND",49,0.336,0.316,0.483,0.475,0.733,1899,17.1,1.7,4.9,1.4,4.3,0.3,0.6,0.2,0.3,0.2,2.8,3,0.7,0.5,0.1,0.5,2.1,4.9,839,7.5,0.485,0.88,0.062,0.013,0.18,0.097,0.061,0.014,0.5,0.088,0.143,0,1,1,0.056,-2.6,0.5,-2,0,839,81,241,67,212,14,29,11,15,10,137,147,34,24,6,24,103,240
"Tayshaun Prince",2011,30,"SF","DET",78,0.473,0.347,0.486,0.49,0.702,2419,32.8,6.1,12.8,0.4,1.3,5.6,11.6,1.5,2.2,1,3.2,4.2,2.8,0.4,0.5,1.1,1.2,14.1,2562,15.1,0.511,0.098,0.168,0.036,0.126,0.079,0.144,0.6,0.013,0.071,0.21,2.9,0.4,3.3,0.062,1,-1.8,-0.8,0.7,2562,473,1001,34,98,439,903,118,168,78,251,329,215,30,41,82,90,1098
