"name","yearSeason","agePlayer","position","team","countGames","pctFG","pctFG3","pctFG2","pctEFG","pctFT","idPlayerNBA","minutesPerGame","fgmPerGame","fgaPerGame","fg3mPerGame","fg3aPerGame","fg2mPerGame","fg2aPerGame","ftmPerGame","ftaPerGame","orbPerGame","drbPerGame","trbPerGame","astPerGame","stlPerGame","blkPerGame","tovPerGame","pfPerGame","ptsPerGame","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals"
"Erick Dampier",2011,35,"C","MIA",51,0.584,0,0.591,0.584,0.545,956,16,1,1.7,0,0,1,1.7,0.5,0.9,1,2.4,3.5,0.4,0.3,0.9,0.6,1.6,2.5,815,9.7,0.591,0.011,0.494,0.082,0.171,0.129,0.038,0.9,0.045,0.228,0.081,0.5,1.4,1.9,0.109,-2,1.7,-0.3,0.4,815,52,89,0,1,52,88,24,44,53,124,177,22,14,47,32,82,128
"Glen Davis",2011,25,"C","BOS",78,0.448,0.133,0.454,0.449,0.736,201175,29.5,4.6,10.3,0,0.2,4.6,10.1,2.5,3.4,1.3,4.2,5.4,1.2,1,0.4,1.1,3,11.7,2298,12.8,0.499,0.019,0.331,0.057,0.164,0.114,0.066,0.018,0.01,0.085,0.209,0.6,4.3,4.9,0.102,-2.6,0.7,-1.9,0,2298,359,801,2,15,357,786,195,265,101,324,425,92,78,30,85,231,915
"DeSagana Diop",2011,29,"C","CHA",16,0.333,0,0.333,0.333,0.364,2205,11.3,0.5,1.5,0,0,0.5,1.5,0.3,0.7,0.8,1.8,2.5,0.4,0.3,0.9,0.7,1.6,1.3,181,5.4,0.347,0,0.458,0.08,0.189,0.134,0.057,0.012,0.067,0.276,0.103,-0.3,0.3,-0.1,-0.016,-6.7,1.8,-4.9,-0.1,181,8,24,0,0,8,24,4,11,12,28,40,7,4,15,11,26,20
"Joey Dorsey",2011,27,"C","TOR",43,0.525,0,0.525,0.525,0.477,201595,12.1,1.2,2.3,0,0,1.2,2.3,0.7,1.5,1.8,2.6,4.4,0.6,0.6,0.4,0.9,1.8,3.1,522,14.2,0.529,0,0.657,0.175,0.258,0.216,0.074,0.024,0.025,0.234,0.143,0.2,0.5,0.8,0.072,-1.6,0.1,-1.6,0.1,522,52,99,0,0,52,99,31,65,79,111,190,27,24,17,39,78,135
"Tim Duncan",2011,34,"C","SAS",76,0.5,0,0.502,0.5,0.716,1495,28.4,5.5,11,0,0.1,5.5,11,2.4,3.4,2.2,6.7,8.9,2.7,0.7,1.9,1.6,1.6,13.4,2156,21.9,0.537,0.005,0.307,0.093,0.268,0.183,0.157,0.012,0.048,0.114,0.229,3.7,4,7.7,0.171,2.2,2.2,4.4,3.5,2156,419,838,0,4,419,834,184,257,169,509,678,203,50,146,122,119,1022
"Francisco Elson",2011,34,"C","UTA",62,0.478,0,0.478,0.478,0.839,1922,9.8,0.9,1.8,0,0,0.9,1.8,0.4,0.5,0.6,1.3,1.9,0.5,0.3,0.2,0.5,1.4,2.2,610,8.9,0.529,0,0.274,0.069,0.16,0.114,0.079,0.018,0.019,0.202,0.119,0.1,0.5,0.6,0.046,-3.8,0.3,-3.5,-0.2,610,54,113,0,0,54,113,26,31,35,80,115,33,21,14,32,84,134
"Melvin Ely",2011,32,"C","DEN",30,0.549,0,0.549,0.549,0.619,2408,12.2,0.9,1.7,0,0,0.9,1.7,0.4,0.7,0.9,1.6,2.5,0.5,0.1,0.4,0.5,1.7,2.3,366,8.3,0.573,0,0.412,0.088,0.144,0.117,0.053,0.5,0.023,0.189,0.09,0.3,0.3,0.6,0.083,-2.9,-0.3,-3.2,-0.1,366,28,51,0,0,28,51,13,21,27,47,74,14,4,11,14,50,69
"Kyrylo Fesenko",2011,24,"C","UTA",53,0.44,0,0.444,0.44,0.391,201178,8.6,0.8,1.9,0,0,0.8,1.9,0.3,0.9,0.6,1.4,2,0.3,0.1,0.3,0.5,1.7,2,456,5.8,0.441,0.01,0.46,0.089,0.198,0.143,0.059,0.5,0.029,0.172,0.146,-0.4,0.3,-0.1,-0.011,-6.5,-0.9,-7.4,-0.6,456,44,100,0,1,44,99,18,46,34,74,108,18,4,16,25,90,106
"Jeff Foster",2011,34,"C","IND",56,0.479,0,0.488,0.479,0.563,1902,16.8,1.4,3,0,0.1,1.4,2.9,0.5,0.9,2.9,3.4,6.3,0.8,0.4,0.6,0.5,2.3,3.3,940,14.3,0.497,0.018,0.287,0.191,0.223,0.207,0.073,0.013,0.024,0.121,0.101,1.6,1.4,3,0.152,-0.6,0.1,-0.5,0.4,940,80,167,0,3,80,164,27,48,160,190,350,46,24,31,26,127,187
"Marc Gasol",2011,26,"C","MEM",81,0.527,0.429,0.528,0.529,0.748,201188,31.9,4.5,8.5,0,0.1,4.5,8.4,2.7,3.6,1.9,5.1,7,2.5,0.9,1.7,1.8,3.3,11.7,2586,16.8,0.58,0.01,0.425,0.071,0.194,0.131,0.116,0.015,0.043,0.151,0.169,4,3.9,7.9,0.146,0.3,2,2.3,2.8,2586,364,691,3,7,361,684,220,294,154,415,569,200,74,136,146,265,951
